Ref,Name,Pos,Team,Value,Owners
209,Kolo Toure,Defender,Liverpool,4.7,16826
210,Jon Flanagan,Defender,Liverpool,4.7,7523
211,Mamadou Sakho,Defender,Liverpool,5.1,26431
212,Tiago Ilori,Defender,Liverpool,4,2849
213,Brad Smith,Defender,Liverpool,4,858
214,Steven Gerrard,Midfielder,Liverpool,8.6,140201
215,Leiva Lucas,Midfielder,Liverpool,4.3,36202
216,Jordan Henderson,Midfielder,Liverpool,6.6,771068
217,Raheem Sterling,Midfielder,Liverpool,8.3,996624
218,Joe Allen,Midfielder,Liverpool,4.8,4822
219,Philippe Coutinho,Midfielder,Liverpool,7.9,327007
220,Jordon Ibe,Midfielder,Liverpool,4.3,18995
221,Suso,Midfielder,Liverpool,4.7,845
222,Jordan Rossiter,Midfielder,Liverpool,4.4,1027
223,Teixeira,Midfielder,Liverpool,4.5,654
224,Oussama Assaidi,Midfielder,Liverpool,4.8,1751
225,Emre Can,Midfielder,Liverpool,5.2,10470
226,Adam Lallana,Midfielder,Liverpool,8.3,17408
227,Daniel Sturridge,Forward,Liverpool,11.1,268627
228,Iago Aspas,Forward,Liverpool,6,102
229,Rickie Lambert,Forward,Liverpool,6.8,64631
230,Fabio Borini,Forward,Liverpool,6,7361
231,Joe Hart,Goalkeeper,Man City,6.1,243815
232,Willy Caballero,Goalkeeper,Man City,5.1,3661
233,Aleksandar Kolarov,Defender,Man City,5.8,147728
234,Micah Richards,Defender,Man City,4.9,3066
235,Pablo Zabaleta,Defender,Man City,6.4,184118
236,Vincent Kompany,Defender,Man City,6.4,298584
237,Gail Clichy,Defender,Man City,5.3,257597
238,Karim Rekik,Defender,Man City,4.5,350
239,Matija Nastasic,Defender,Man City,5.1,8568
240,Dedryck Boyata,Defender,Man City,4.2,2447
241,Martin Demichelis,Defender,Man City,5.9,48391
242,Bacary Sagna,Defender,Man City,5.1,44362
243,Jack Rodwell,Midfielder,Sunderland,4.7,50311
244,Samir Nasri,Midfielder,Man City,8.2,61197
245,David Silva,Midfielder,Man City,9.8,866296
246,Yaya Toure,Midfielder,Man City,10.8,238581
247,James Milner,Midfielder,Man City,5.4,58698
248,Javi Garcia,Midfielder,Man City,4.5,3278
249,Jesus Navas,Midfielder,Man City,7.2,39268
250,Fernandinho,Midfielder,Man City,6.8,28100
251,Scott Sinclair,Midfielder,Aston Villa,4.9,5745
252,Fernando,Midfielder,Man City,4.8,17986
253,Edin Dzeko,Forward,Man City,7.9,129688
254,Sergio Aguero,Forward,Man City,12.9,1050578
255,Alvaro Negredo,Forward,Man City,9,1525
256,Stevan Jovetic,Forward,Man City,7.8,97606
257,David de Gea,Goalkeeper,Man Utd,5.8,779457
258,Anders Lindegaard,Goalkeeper,Man Utd,4.8,3118
259,Chris Smalling,Defender,Man Utd,5.3,66606
260,Phil Jones,Defender,Man Utd,5,86584
261,Rafael,Defender,Man Utd,5.1,18185
262,Patrice Evra,Defender,Man Utd,5.5,2078
263,Jonny Evans,Defender,Man Utd,5,10169
264,Guillermo Varela,Defender,Man Utd,4.3,1632
265,Michael Keane,Defender,Burnley,4.2,3471
266,Luke Shaw,Defender,Man Utd,5.7,89317
267,Juan Mata,Midfielder,Man Utd,8.5,367760
268,Marouane Fellaini,Midfielder,Man Utd,6.4,70675
269,Antonio Valencia,Midfielder,Man Utd,5.7,22979
270,Luis Nani,Midfielder,Man Utd,7,19828
271,Anderson Oliveira,Midfielder,Man Utd,4.7,862
272,Michael Carrick,Midfielder,Man Utd,5.4,4223
273,Darren Fletcher,Midfielder,West Brom,4.5,16096
274,Tom Cleverley,Midfielder,Aston Villa,5.3,42857
275,Ashley Young,Midfielder,Man Utd,5.1,101221
276,Nick Powell,Midfielder,Man Utd,4.4,1097
277,Shinji Kagawa,Midfielder,Man Utd,6.3,5450
278,Jesse Lingard,Midfielder,Man Utd,4.3,3123
279,Adnan Januzaj,Midfielder,Man Utd,6.1,38921
280,Wilfried Zaha,Midfielder,Crystal Palace,5.1,31080
281,Ander Herrera,Midfielder,Man Utd,7.2,109622
282,Robin van Persie,Forward,Man Utd,12,69746
283,Javier Hernandez,Forward,Man Utd,5.9,11709
284,Wayne Rooney,Forward,Man Utd,10.6,541301
285,Danny Welbeck,Forward,Arsenal,6.9,159223
286,James Wilson,Forward,Man Utd,4.3,12078
287,Tom Lawrence,Forward,Leicester,4.3,2949
288,Tim Krul,Goalkeeper,Newcastle,4.4,448437
289,Robert Elliot,Goalkeeper,Newcastle,4,84587
290,Michael Williamson,Defender,Newcastle,4.3,17848
291,Steven Taylor,Defender,Newcastle,3.8,100416
292,Fabricio Coloccini,Defender,Newcastle,4.5,115205
293,Ryan Taylor,Defender,Newcastle,4.4,2524
294,Davide Santon,Defender,Newcastle,4.3,2487
